Invention,Year,Inventor,Category,Category 2,Earlier independent plausible description/patent of the concept?,Other development efforts?,Other successes or near successes?,Notes,Sources,Source Link,,,
Cylinder steam printing press,1811,Friedrich Koenig,Mechanical,,,Yes*,,"It's hard to determine priority, and what's a deriviative effort here. Nicholson patented a rotary press in 1790, which probably informed Koenig's work. Kinsley built a rotary press in America before Koenig, but this was also probably based on nicholson's work. There was also another ""4-sided"" rotary press by Bacon and Donklin. Counting this as ""other development work"" but with an asterisk.",History of information,https://www.historyofinformation.com/detail.php?id=4579,https://www.historyofinformation.com/detail.php?id=4434&utm_source=chatgpt.com,https://www.jstor.org/stable/41341880?saml_data=eyJpbnN0aXR1dGlvbklkcyI6WyI2NDM3NjBmNy1hNzMxLTQ1NDgtOTMwOC00NzAyYzQ2Y2I1NzIiXSwic2FtbFRva2VuIjoiZDAyZGRmOGEtYWZmNi00YjRmLWEzMjYtMjJjNWYxZjczYmQzIn0&seq=1,https://books.google.com/books?hl=en&lr=&id=08v7pd22o74C&oi=fnd&pg=IA2&dq=kinsley+nicholson+rotary+prss&ots=qeZPrg4Qaq&sig=DPBgof7ZxgUAGjvYjmDwYObeujA#v=onepage&q=kinsley&f=false
Safety lamp,1812,William Reid Clanny,Mechanical,,,,Yes,"""Stephenson, the largely self-educated mechanic, arrived at his design of lamp by what has been called “practical empiricism”: a combination of, as David Knight has observed, intuition and common sense, involving a fair amount of trial and error. Davy, on the other hand, the established and well-connected man of science, understood the principle by which his lamp worked: he spent hours experimenting on samples of fire-damp, sent in sealed bottles from the north-east, in the laboratory of the Royal Institution, then used his research findings to shape his design.

Davy and Stephenson had worked independently, and there is no persuasive evidence of any kind of “borrowing” on either side in 1815. Davy had had the benefit of seeing a working example of Clanny’s lamp, but his own “safe lamp” with narrow ventilation tubes was a very different machine to Clanny’s. The improved lamp Davy designed in the final days of December, which replaced the tubes with a wire gauze cylinder enclosing the flame, was, again, a different machine to Stephenson’s.""",The Guardian,https://www.theguardian.com/science/the-h-word/2015/jul/22/humphry-davy-lamp-controversy-history-science,,,
Planing machine,1814,James Fox,Mechanical,,,,Yes,"""In almost no case is the crediting of invention more difficult than that of the planer…The invention of the metal planer has been claimed in England on behalf of Spring of Aberdeen, James Fox, George Rennie Matthew Murray, Joseph Clemen, and Richard Roberts. The planer was in use in the united states so early taht it may have also been invented independently in this country""","English And American Tool Builders, p50",https://books.google.com/books?id=X-EJAAAAIAAJ&pg=PA50#v=onepage&q&f=false,,,
Stethoscope,1816,Rene Laennec,Mechanical,,,,,,,,,,
Electric telegraph,1816,Francis Ronalds,Electrical,,,Yes,,"Lots of efforts here, some deriviative (Wheatsone of Ronalds) but not all. ""While returning by ship from Europe in 1832, Morse encountered Charles Thomas Jackson of Boston, a man who was well schooled in electromagnetism. Witnessing various experiments with Jackson's electromagnet, Morse developed the concept of a single-wire telegraph. He set aside the painting he had been working on, The Gallery of the Louvre.[14] The original Morse telegraph, submitted with his patent application, is part of the collections of the National Museum of American History at the Smithsonian Institution.[15] In time, the Morse code that he developed would become the primary language of telegraphy in the world. It is still the standard for rhythmic transmission of data.

Meanwhile, William Cooke and Professor Charles Wheatstone had learned of the Wilhelm Weber and Carl Gauss electromagnetic telegraph in 1833. They had reached the stage of launching a commercial telegraph prior to Morse, despite starting later. ... ""The idea of using electricity to communicate over distance is said to have occurred to Morse during a conversation aboard ship when he was returning from Europe in 1832. Michael Faraday's recently invented electromagnet was much discussed by the ship's passengers, and when Morse came to understand how it worked, he speculated that it might be possible to send a coded message over a wire. While a student at Yale College years before, he had written his parents a letter about how interesting he found the lectures on electricity. Despite what he had learned at Yale, Morse found when he began to develop his idea that he had little real understanding of the nature of electricity, and after sporadic attempts to work with batteries, magnets, and wires, he finally turned for help to a colleague at the University of the City of New York, Leonard D. Gale."" ... ""He complemented his vision with a working telegraph system built in and under his mother's garden at Hammersmith.[19] It was infamously rejected on 5 August 1816 by Sir John Barrow, Secretary at the Admiralty, as being ""wholly unnecessary"".[20] Commercialisation of the telegraph only began two decades later in the UK, led by William Fothergill Cooke and Charles Wheatstone, who both had links to Ronalds' earlier work.[19][21]"" ... There was also earlier work. ""An early electrical telegraph based on Volta’s cell was proposed by Catalan physician and experimenter Francisco 
Salvá Campillo (1751–1828) in 1804 [5]...Similar results were obtained 
five years later by the electrochemical telegraph developed by the German 
scientist Samuel Thomas von Sömmerring (1755–1830) and the English scientist Francis Ronalds (1788–1873) in 1816 (Figure 1) [6]","Wikipedia, Library of Congress, ""Messaging before the internet - early electrical telegraphs""",https://en.wikipedia.org/wiki/Francis_Ronalds,https://en.wikipedia.org/wiki/Samuel_Morse#Telegraph,https://www.loc.gov/collections/samuel-morse-papers/articles-and-essays/invention-of-the-telegraph/,
Stirling hot air engine,1816,Robert Stirling,Mechanical,,,,,There were other air engines (Cayley) but not closed cycle,Hotairengines.org,https://hotairengines.org/closed-cycle-engine/stirling-1816?utm_source=chatgpt.com,,,
Dandy horse,1817,Karl von Drais,Mechanical,,,,,,,https://bikingfranceblog.com/2020/12/28/inventing-the-bicycle-part-1-the-horseless-carriage-and-celerifere-1779-to-1791/,,,
Tunneling shield,1818,Marc Brunel,Mechanical,,,,,,,,,,
Pattern-tracing lathe,1822,Thomas Blanchard,Mechanical,,,,,,,,,,
Heliography,1822,Nicéphore Niépce,Chemical,,,,Yes,"Niepce's inspired Daguerre's ""Daguerrotypes"", but William Talbot seems to have pursued efforts independently. ""In 1829 Nicéphore and Daguerre, who had heard of his experiments probably from Chevalier, signed a ten-year partnership to perfect heliography. Then Niépce died suddenly in 1833. In 1835 the partnership was resumed with Niépce’s son, Isidore, although Daguerre made himself the dominant partner. Progress was made with what would became the daguerreotype showing potential and the partnership was further revised in 1837.""... ""When news of Daguerre’s process reached England in January 1839, Talbot rushed publication of his “photogenic drawing” process and subsequently explained his technique in complete detail to the members of the Royal Society—six months before the French government divulged working directions for the daguerreotype.""","Britannica, amateurphotographer.com",https://www.britannica.com/technology/photography/Daguerreotype,https://amateurphotographer.com/iconic-images/200-years-of-photography-celebrating-pioneer-joseph-nicephore-niepce/,,
Difference engine,1822,Charles Babbage,Mechanical,,,,"Yes* (just a design, but so was Babbages)","""In 1784 J. H. Müller, an engineer in the Hessian army, devised and built an adding machine and described the basic principles of a difference machine in a book published in 1786 (the first written reference to a difference machine is dated to 1784), but he was unable to obtain funding to progress with the idea.""...There were also other mechanical calculators ""In 1820 Charles Xavier ThomasOffsite Link of Alsace, an entrepreneur in the insurance industry, invented the arithmometerOffsite Link, the first commercially produced adding machineOffsite Link, presumably to speed up and make more accurate, the enormous amount of daily computation insurance companies required.""","Wikipedia, History of information",https://www.historyofinformation.com/detail.php?id=448,https://en.wikipedia.org/wiki/Difference_engine,,
First lighter (Doberiner's Lamp),1823,Johann Dobereiner,Chemical,,,,Yes,"Volta previously developed a hydrogen lighter ""In October 1780 Volta in a letter to Carlo Count of Firmian (1716-1782)12 announced that his lighter was a great success and proudly added that it was manufactured by the famous instrument maker Edward Nairne (1726-1806), who had presented it to the Royal Society.13""",Volta's electric lighter and its improvements,,,,
Bolt-action rifle,1824,Johan Nikolaus von Dreyse,Mechanical,,,,,I feel like there must be multiple efforts here but didn't locate any.,,,,,
Electromagnet,1824,William Sturgeon,Electrical,,,,,"Joseph Henry also developed electromagnets, but these were based on Sturgeon's work",,https://www.biodiversitylibrary.org/page/9077249#page/27/mode/1up,,,
Friction match,1826,John Walker,Chemical,,,,Yes,"""Such, then, were the nature and circumstances of this most useful invention. Before many years had passed, other claimants to it arose. At one time the late Sir Isaac Holden thought himself to be the original inventor of 'friction matches,' but in a letter which he wrote to the late Mr. Joseph Parrott of Stockton-on-Tees on Feb. 3, 1894 (after 
hearing of the discovery of Walker's Day-Book), of which I have a photograph, he said, ""My invention, if so it may be called, was introduced by me in Oct. 1829 in entire ignorance of Mr. Walker's."" Unfortunately, the Report of Juries of the Exhibition of 1851 contained a judgment by Warren de la Rue and A. W. Hofmann that "" The first 
friction matches or congreves made their appearance about 1832,"" without even mentioning Walker's prior invention. Now the 'congreves,' which were introduced into England from Germany and Austria in that year, were originally invented by a young French chemist, Charles Sauria of St. Lothair (d. 1895), who in January 1831 (or nearly 
four years after Walker's invention), whilst a student at the College d'Arc, Dole (Jura), made friction matches containing phosphorus, but (like Walker) he did not patent his invention, which some think was pirated in Germany.""",The Centenary of the Friction Match,https://www.nature.com/articles/119495a0,,,
Gas Stove,1826,James Sharp,Mechanical,,Yes,,,"""The first gas stove was developed in 1802 by Zachäus Winzler (de), but this along with other attempts remained isolated experiments.[16] James Sharp patented a gas stove in Northampton, England in 1826 and opened a gas stove factory in 1836.""",Wikipedia,https://en.wikipedia.org/wiki/Gas_stove,,,
Hot-blast iron smelting,1828,James Neilson,Chemical,,,,,,,,,,
Reaping machine,1828,Patrick Bell,Mechanical,,,,Yes,"""By the summer of 1831, when Cyrus McCormick's reaper madeits first public showing at Steele's Tavern, at least seven Bell reapers were operating in Scottland..More than thirty other reaping machines appeard in England or Scotland in the forty-five years between 1786 and 1831""",Dream reaper p26-32,,,,
Commutated electrocmagnetic motor,1828,Anyos Jedlik,Electrical,,,,Yes,"Jedlik's efforts were independent of other, more successful ones. ""Istvan (Ănyos) Jedlik (Hungarian) invents the first rotary machine with electromagnets and a commutator.
However, Jedlik publicly reported his invention only decades later and the actual invention date is uncertain.

Still many Hungarians believe Jedlik has invented the electric motors. A functional model of his apparatus is displayed at the art museum in Budapest.

Although this could actually be the first electric motor it has to be realized that this device had no influence on further development of electric machines. Jedlik's invention remained hidden for a long time and was not pursued by the inventor. The field of electrical engineering owes Jedlik nothing.""",The invention of the electric motor,http://www.sze.hu/~szenasy/VILLVONT/vill%20vont%20bevezhez/History%20-%20The%20invention%20of%20the%20electric%20motor%201800-1854.html,,,
Braile Tactile alphabet,1829,Louis Braille,Other,,,Yes,,"Other efforts at raised writing for the blind, Braille's work was developed from earlier ""night writing"" dot codes. ""One of the first concentrated efforts to create a system of writing occurred in Paris in the 1780s. Valentin Hauy, founder and director of the first school for the blind, produced raised letters on heavy paper using a metal pen with a rounded tip. He also made the observation that printed letters could be seen in reverse through regular paper, and was able to produce reverse metal-cast letters that were able to produce raised letters using wet paper. The first book using the technique of raised or embossed letters was published in 1787 and was, appropriately, an essay on the education of blind children. One of Hauy's objectives was to maintain a close similarity between the way sighted and blind children were educated. His theory was that education of the blind should not deviate significantly from educational tools and technologies used by sighted students.

Hauy's system of producing raised letters on paper underwent a number of modifications, some by Hauy himself, some by others. A blind man in England, Dr. William Moon, created a system of embossed letters that used the regular alphabet, with some of the letters modified or simplified. In the Moon alphabet, eight of the letters remain the same, fourteen have parts left out, and five are completely of new design. Moon's code was, for the time, simple and elegant, and it was used by a relatively wide audience for a substantial period of time.

The precursor to the modern-day standard -- braille -- was the raised dot system created by Charles Barbier, another French citizen. In 1815, Barbier created a system of raised dots, which he theorized (probably correctly!), that raised dots provided a medium that was more easily interpreted tactually (that is, by touch.) ",Intro to Braille,"http://www.brl.org/intro/session01/intro.html#:~:text=Valentin%20Hauy%2C%20founder%20and%20director%20of%20the,a%20metal%20pen%20with%20a%20rounded%20tip",,,
Compound air compressor,1829,William Mann,Mechanical,,,,,,,,,,
Corrugated galvanized iron,1829,Henry Robinson Palmer,Mechanical,,,,,,,https://era.ed.ac.uk/bitstream/handle/1842/38057/Induni2020vol1.pdf?sequence=2,,,
Lawn mower,1830,Edwin Budding,Mechanical,,,,,,,,,,
Electromagnetic induction,1831,Michael Faraday,Electrical,,,Yes,,"Didn't build a generator like Faraday did but others had discovered the effect ""in August 1831, he discovered mutual magnetic induction by noting the transient current induced in a coil when the current was turned on and off in a second coil, both wound on the same toroidal iron core (Figure 1). In October 1831, he observed self-induction, as the result of the current induced in a solenoidal coil by the movement of a magnet inside its bore. Nevertheless this latter effect had already been discovered by he less famous Francesco Zantedeschi (1797–1873) in Italy in 1830 and by Joseph Henry (1797–1878) in the United States in 1831",Who Invented the Transformer?,,,,
First practical rotating electric motor,1834,Mortiz von Jacobi,Electrical,,,,Yes,"There were many efforts here, such as Thomas Davenport: ""In December 1833 the blacksmith Thomas Davenport (American) purchases a solenoid directly from Joseph Henry and begins experiments together with Orange Smalley (American) in a workshop in Forestdale, Vermont.
In July 1834 the two men create their first rotary machine. They improve the device in several steps before they publicly demonstrate it in December 1834 for the first time.

In the following year Davenport separates from Smalley. 

In the summer of 1835 Davenport travels to Washington, D.C., to demonstrate his machine before the patent office and have it registered. Due to lack of money, however, he has to return home without success.""",The Invention of the electric motor,https://www.eti.kit.edu/english/1376.php,,,
Electromechanical relay,1835,Joseph Henry,Electrical,,,,Yes,"""American scientist Joseph Henry is often cited to have invented a relay in 1835 in order to improve his version of the electrical telegraph, developed earlier in 1831.[2][3][4][5] However, Henry never published any of these experiments and dating for his relay experiments is based solely on the words of Henry himself and his students, often decades later.[6][7]

In March 1837 Edward Davy deposited a letter with the British Secretary for the Society of Arts containing his ideas for an electromagnetic relay, which, even if it was not the first, was considered more practical than previous designs, being a ‘make-and-break’ type rather than being based on the use of mercury. He did this two months before Charles Wheatstone and William Cooke filed their first patent for their telegraph system and would file a patent for the same idea a year later.[8][9]""",Wikipedia,https://en.wikipedia.org/wiki/Relay,,,
Morse Code,1837,Samuel Morse,Other,,,,Yes,"Many similar ""bi-signal"" codes (see smithsonian report)",Annual report of the board of regents of the smithsonian p358,https://archive.org/details/annualreportofbo1878smit/page/358/mode/2up,,,
Electrotyping,1838,Mortiz von Jacobi,Chemical,,,,Yes,"Jacobi was first, but there were many claimants ""Most english writers mention Spencer as the discoverer, whereas German and French books give the honor to the Russian, Jacobi. Jordan, an English printer, has a much stronger claim than Spencer and yet is hardly ever mentioned.""",The Discovery of Galvanoplasty and Electrotyping,https://pubs.acs.org/doi/pdf/10.1021/ed015p565,,,
Steam Shovel,1839,William Otis,Mechanical,,,,,,,,,,
Steam Hammer,1839,James Nasmyth,Mechanical,,,,Yes,"""The concept of the steam hammer was described by James Watt in 1784, but it was not until 1840 that the first working steam hammer was built to meet the needs of forging increasingly large iron or steel components. In 1843 there was an acrimonious dispute between François Bourdon of France and James Nasmyth of Britain over who had invented the machine. Bourdon had built the first working machine, but Nasmyth claimed it was built from a copy of his design...It seems probable that the Scottish Engineer James Nasmyth (1808–1890) and his French counterpart François Bourdon (1797–1865) reinvented the steam hammer independently in 1839, both trying to solve the same problem of forging shafts and cranks for the increasingly large steam engines used in locomotives and paddle boats.""",Wikipedia,https://en.wikipedia.org/wiki/Steam_hammer,,,
Photovoltaic effect,1839,Edmond Becquerel,Other,,,,,,,,,,
Vulcanized Rubber,1839,Charles Goodyear,Chemical,,,,,"Hancock also worked on it, but this was very likely based on Goodyear's work: ""Thomas Hancock could scarcely believe his eyes. Hancock, the acknowledged authority on rubber in the most powerful industrial nation on earth, had long ago implicitly declared, by his inaction, that rubber would always be susceptible to heat and cold. There had been no significant work on the problem in England for years. These samples by their very existence rebuked Hancock's decision to concentrate on the safer course, on incremental improvements. ...Hancock nevertheless had his work cut out for him. Recall that Horace Day had received from Horace Cutler the ingredients for vulcanized rubber, their precise proportions, and a live demonstration, and was stil] unable to reproduce it. But Horace Day was no Thomas Hancock. Hancock had forgotten more on the subject of rubber than Horace Day would ever know. Hancock was brilliant, well-organized, and methodical. And now he was motivated.""",Noble Obsession p129-131,,,,
Daguerrotype,1839,Louis Daguerre,Chemical,,,,Yes,Henry Talbot (see Heliography above),,,,,
"""Blueprint"" (cyanotype) process",1840,John Herschel,Chemical,,,,,,Wikipedia,https://en.wikipedia.org/wiki/Cyanotype,,,
Printing telegraph,1841,Alexander Bain,Mechanical,,,,Yes,"""The advantages of typeprinting telegraphs were obvious to inventors, and over 150 systems have been proposed since ""Corpusculum"" claimed to have solved the problem in 1832. He was followed by Amyot, Wheatstone, Bain, and others, but the first practical model was invented by Royal House, Jacob Brett and JW Brett in America in 1845""","Short History of the Telegraph, p9",https://www.britishtelephones.com/cto/documents/gp05_short_history_of_the_telegraph.pdf,,,
Fuel Cell,1842,William Robert Grove,Chemical,,,,,"Grove built the first actual cell, but others (notably schonbein) had noticed the ""fuel cell effect"". Both Grove and Schonbein published on it the same year, 1839. There was later confusion as to how Grove's fuel cell actually worked.","Fuel cells: from birth to maturity p25-30, Fuel cells: history and updating",,https://www.sciencedirect.com/science/article/pii/S1364032109001336,,
Super-phosphate fertilizer,1842,John Bennet Lawes,Chemical,,,,Yes,"""the record indicates that Murray and Lawes, who apparently are jointly entitled to the credit for pioneering the commercial manufacture of super- phosphate in itself and for establishing the industry on a permanent basis, were prominent among those who were giving thought to the acid treatment of natural phosphates as a business venture at about the time (1840) Liebig’s statement was first published...An English patent (No. 9353) on fertilizer pre- pared by treating either bones or mineral phosphates with sulfuric acid was granted to Lawes on May 23, 1842, the very day on which another English patent (No. 9360) on the same subject was granted to James Murray (p. 25).""","Superphosphate: it's history, chemistry, and manufacture p24-27",https://dn720203.ca.archive.org/0/items/CAT10508105/CAT10508105.pdf,,,
Wood-pulp paper,1844,FG Keller and Charles Fenerty,Mechanical,,,,Yes,"""Though Matthias Koops in England produced paper from wood pulp as early as 1801, credit for the discovery of the industrial process for making wood pulp paper is generally given to the German machinist and inventor Friedrich Gottlob KellerOffsite Link, and to the Canadian poet and inventor Charles FenertyOffsite Link, both of whom appear to have independently announced the discovery of similar processes in 1844. """,History of Information,https://historyofinformation.com/detail.php?entryid=548,,,
Hypodermic needle,1844,Francis Rynd,Medical,,,,Yes,"""An Irish physician, Francis Rynd, attempted hypodermic administration in 1844 by making a small incision in the skin, inserting a fine cannula, and letting the medication flow by gravity through the cannula. Alexander Wood, secretary of the Royal college of PHysicians in edinburg, had been experimenting with a hollow heedle for administration of drugs. In 1853, he published...a paper entitled ""A new method of direct application of opiates to painful points"" At the same time, Charles Pravcaz of Lyon, France successfully used a similar syringe. Both men are credited with the discovery and successful use of the modern hypodermic syringe."" (Wood also acknolwedged many previous influences)","Hypodermic syringe, A History of the Hypodermic syringe",https://journals.lww.com/ajg/citation/2005/12000/hypodermic_syringe.2.aspx,,,
Modern high-strength Portland cement,1845,Isaac Charles Johnson,Chemical,,,,,Other cement mixes but couldn't find any similar efforts w/ Portland cement,,https://en.wikipedia.org/wiki/Portland_cement,,,
Tunnel-boring machine,1846,Henri-Joseph Maus,Mechanical,,,,,,,,,,
Nitroglycerin,1847,Ascanio Sobrero,Chemical,,,,,,,https://en.wikipedia.org/wiki/Nitroglycerin,,,
Pneumatic drill,1848,Jonathan Couch,Mechanical,,,Yes,,"Lots of attempts at a rock drill. ""The Burleigh drill, which soon became the mine 
owner's indispensable tool, was not the first percussive rock drill ever invented, but it was the first one that worked effectively. Charles Burleigh, its inventor, while a machinist at Fitchburn, Massachusetts, helped Jonathan J. Couch and Joseph W. Fowle build their rock drills which were tried out on the nearly fivemile-long railroad tunnel through Hoosac Mountain. 
Neither Couch's nor Fowle's drill proved economical at the Hoosac because they were constantly in repair. Europeans patented 86 rock drills between 1850 and 1875; Americans patented 110. But it was the Burleigh drill that was to advance tunnelling, quarrying, and mining technology in the United States, and it was Burleigh's name that, like Zerox with all copiers, was to become synonymous with machine drills, no matter who made them.2 
The Brooks, Gates and Burleigh Drill, patented March 6, 1866, was tried in the east heading of the Hoosac in mid-June of that year. Like Couch's tool, this one had a hollow piston, but where Couch's drill was ""thrown"" at the rock face rather like a spear, the Brooks, Gates and Burleigh drill was attached to the piston rod and worked like Fowle's drill. The results were disappointing; it, too, was in the repair shop far too often. Meanwhile, Charles Burleigh purchased Fowle's patent and, abandoning Couch's hollow piston, built a machine in which the drill was attached directly to a rotating piston rod. Steam-powered machine drills had already failed in practical application at the Hoosac, so Burleigh built an air compressor and sprayed water into the cylinders to cool the air during compression. ""","John Henry v Charles Burleigh's Drill, The Rock Drill and Civilization",https://www.inventionandtech.com/content/rock-drill-and-civilization-1,https://mininghistoryassociation.org/Journal/MHJ-v1-1994-Chaky.pdf,,
Pin-tumbler cylinder Lock,1848,Linus Yale Sr.,Mechanical,,,,,Pin-tumblers were a preexisting idea but could find no previous reference to a cylinder lock based on them,,https://en.wikipedia.org/wiki/Pin_tumbler_lock#cite_note-3,,,
Metallic-cartridge repeating rifle,1849,Walter Hunt,Mechanical,,,,Yes,Huge amount of effort to make both metalliic cartridges and repeating rifles,Wikipedia,https://en.wikipedia.org/wiki/Cartridge_(firearms)#History,https://en.wikipedia.org/wiki/Repeating_rifle,,
Francis water turbine,1849,James Francis,Mechanical,,,,,"Francis was based on earlier inward flow reaction turbines, other developments were based on different configurations","The origins of the water turbine, Major historical developments in the design fo water wheels and francis hydroturbines",https://iopscience.iop.org/article/10.1088/1755-1315/22/1/012020/pdf,https://www.jstor.org/stable/24966239?saml_data=eyJpbnN0aXR1dGlvbklkcyI6WyI2NDM3NjBmNy1hNzMxLTQ1NDgtOTMwOC00NzAyYzQ2Y2I1NzIiXSwic2FtbFRva2VuIjoiZjA5NWJkZTMtZjM2NC00ZWNhLWFiY2YtNzhjYTE5Yjc0OTA2In0&seq=1,,
Safety pin,1849,Walter Hunt,Mechanical,,,,,,,https://en.wikipedia.org/wiki/Walter_Hunt_(inventor)#Safety_pin,,,
Hydraulic accumulator,1850,William Armstrong,Mechanical,,,,,,,http://www.glias.org.uk/journals/19-c.pdf,,,
Public flush toilet,1851,George Jennings,Mechanical,,,,Yes*,"Jennings pioneered the public toilet, but there were lots of toilet designs ""At precisely the mid-point of the century, in 1851, George Jennings secured a contract to supply the public conveniences in the three refreshment rooms at the Great Exhibition in Hyde Park. A charge was made for the use of some facilities and when the exhibition closed, receipts ftom these totalled £2,441.’ The principle of paying to use public water closets was established, and a new toilet euphemism was born: ‘to spend a penny’.* About a dozen manufacturers had water closets on display in the exhibition — but it 
was Jennings’s closets providing a public service which offered a clue to the future.’""","Bogs, baths, and basins p116",,,,
Chemical-vapor deposition,1852,Robert Bunsen,Chemical,,,,,,,,,,
Safety-brake elevator,1852,Elisha Otis,Mechanical,,,,,"Lots of lifting devices before, but apparently no safety brake",Lifted p4,,,,
